,id,value_x,value_y,group,language,follower,friend,time
56,1395016155308253191,"Forecast at 23:59:Forecast for the rest of Wednesday 14 AprilPartly cloudy. Slight (20%) chance of a shower, becomiâ€¦ https://t.co/PqPnTR4mGc",-0.16666666666666666,west,en,9,6,Wed May 19 13:59:04 +0000 2021
57,1395019023377522688,"Episode 5 of Kdrama Move to Heaven has hit me, right in the year ducts.",0.2857142857142857,west,en,75,101,Wed May 19 14:10:28 +0000 2021
58,1395025434660642820,@Hutchysays Might be the one I played in. Pretty sure Jobe stared. I was on fire till bulldog pined me,0.375,west,en,247,430,Wed May 19 14:35:56 +0000 2021
59,1395026281985544194,@PhillipCoorey Easy answer to fix this problem boycott Red energy and Lumo energy because they are both owned by snâ€¦ https://t.co/TI6Rh6OE4U,0.21666666666666667,west,en,392,2106,Wed May 19 14:39:18 +0000 2021
60,1395031171646382080,"@LJ__andrew Thanks for the coverage Andrew .
Always a great listen.
Pitty Spontaneous let the all up down.
Great riâ€¦ https://t.co/GJQzRaMvpu",0.4488888888888889,west,en,76,432,Wed May 19 14:58:44 +0000 2021
61,1395040903148965889,"Today I made walnut brownies topped with a layer of choc chip cookie dough!!!
They turned out so horrible, that I dâ€¦ https://t.co/spsmdjfvwC",-1.0,west,en,187,915,Wed May 19 15:37:24 +0000 2021
62,1395076565231280128,"Update @ 03:59: Clear, Temp 9.1oC, Humidity 78pct, Wind Speed 10.4 km/h, Wind Dir NW, Rainfall   0.0 mm",0.10000000000000002,west,en,9,6,Wed May 19 17:59:07 +0000 2021
63,1395102470708236292,"Western Ring Rd  (M80), Keilor East - lanes closed Greensborough bound, Right lane closedâ€¦ https://t.co/cA1rkghaC9 #victraffic",0.0619047619047619,west,en,115075,106,Wed May 19 19:42:03 +0000 2021
64,1395109539477815296,@Track_Tout @FootyonNine Gotta offer more than that champ.,0.5,west,en,21,212,Wed May 19 20:10:08 +0000 2021
65,1395109851185827841,@gnl08 @MaxRock222 @superfooty @heraldsunsport @heraldsunmick Canâ€™t imagine a coherent response coming anytime soon,0.5,west,en,21,212,Wed May 19 20:11:23 +0000 2021
66,1395142902246895616,@JeevesDC Thought it was v.good. Halston must have been a nasty prick.,-1.0,west,en,488,782,Wed May 19 22:22:43 +0000 2021
67,1395143601932308480,"@JeevesDC Julie Andrews said much the same thing in The Sound Of Music. OMG, just admitted I've seen that pile of schlock.",0.20000000000000004,west,en,488,782,Wed May 19 22:25:29 +0000 2021
68,1395143632907288580,Just posted a photo @ The Calm Before The Storm https://t.co/VQ1rBnSqQy,0.30000000000000004,west,en,19625,3450,Wed May 19 22:25:37 +0000 2021
69,1395145651931942917,Hey @Melair. What's up with lighting in Terminal 4 Gates 40+ ramp ?   Almost looks like the gates are closed with aâ€¦ https://t.co/2BTrUuSJ2p,-0.1,west,en,141,465,Wed May 19 22:33:38 +0000 2021
70,1395159681576800256,@johnlittle And his thoughts on Morrison I'm sure would be similar,0.25,west,en,331,438,Wed May 19 23:29:23 +0000 2021
71,1395161355632594948,"Tullamarine Fwy  (M2), Airport West - lanes closed inbound, Right lane blocked inbound just before theâ€¦ https://t.co/rPz1XWBeSO #victraffic",0.09285714285714285,west,en,115044,106,Wed May 19 23:36:02 +0000 2021
72,1395161687838232577,@samanthamaiden @DanielAndrewsMP Unless it's relevant to Victoria I doubt if Daniel Andrews would care,0.4,west,en,331,438,Wed May 19 23:37:21 +0000 2021
73,1395162263082786823,@normboy562 Liberals caught out lying as usual,-0.25,west,en,331,438,Wed May 19 23:39:39 +0000 2021
74,1395162374982692865,"Bloody Queen on Shuffle has made me loose the game again. If you know, you know you have just lost the game too.",-0.4192307692307692,west,en,114,307,Wed May 19 23:40:05 +0000 2021
75,1395162844245544960,@DuchessFrida @JackDaw02954121 Liberal party corruption all is normal for Morrison's Australia,0.15,west,en,331,438,Wed May 19 23:41:57 +0000 2021
76,1395164604863598598,Just made this custom journal for my old customer #leatherjournal #australianmade #grasslanders https://t.co/3Qsb9KN8bo,0.1,west,en,35,10,Wed May 19 23:48:57 +0000 2021
77,1395166312851116037,@benkrahe Miles in front. My goal was just put in and look in a few years time but it exploded and just kept goingâ€¦ https://t.co/R7ohXuv06U,-0.2,west,en,247,430,Wed May 19 23:55:44 +0000 2021
78,1395173684533399559,RT @DoreenCFA: ğŸ§¡ Today we're supporting our Victoria State Emergency Service friends with Wear Orange Wednesday to thank the thousands of vâ€¦,0.25,west,en,335,808,Thu May 20 00:25:02 +0000 2021
79,1395179280024309760,@mariewalsh18 @Russputin2 Hard too stomach when the leader of the Liberal party has a drinking problem bordering on alcoholism,-0.2916666666666667,west,en,331,438,Thu May 20 00:47:16 +0000 2021
80,1395180472263528449,RT @hwllen1: Great to be a part of @HumeCityCouncil #Hume Jobs &amp; Skills Taskforce. This was a hybrid meeting with some zooming in &amp; othersâ€¦,0.8,west,en,35,157,Thu May 20 00:52:00 +0000 2021
81,1395180792448360451,@C_Davie97 @mjrowland68 Yes! I'm waiting until it's my turn but it's getting frustrating hearing anti vax sentimentâ€¦ https://t.co/fxdee28ocr,-0.4,west,en,5,35,Thu May 20 00:53:16 +0000 2021
82,1395182090505703427,@SkullyRox It looks so bloody good.,-0.050000000000000044,west,en,27,128,Thu May 20 00:58:26 +0000 2021
83,1395185582582632451,@PaulMeekPerth Lower taxes for billionaire's higher taxes for the plebs is what he meant,0.25,west,en,331,438,Thu May 20 01:12:18 +0000 2021
84,1395185823851503617,RT @EdmundMorley: @PaulMeekPerth Lower taxes for billionaire's higher taxes for the plebs is what he meant,0.25,west,en,4740,5120,Thu May 20 01:13:16 +0000 2021
85,1395186218745229319,@rebeccamillar83 Yes half way with AZ but not sure what good it's going to be,0.09444444444444444,west,en,331,438,Thu May 20 01:14:50 +0000 2021
86,1395186795361443842,RT @EdmundMorley: @PaulMeekPerth Lower taxes for billionaire's higher taxes for the plebs is what he meant,0.25,west,en,3376,3890,Thu May 20 01:17:07 +0000 2021
87,1395191241206157316,"@Dannbehh @JoshEberley In the playoffs the best players need to be able to score at 3 levels 

Paint, mid range, 3.â€¦ https://t.co/XUv8RJpt1R",0.5,west,en,254,613,Thu May 20 01:34:47 +0000 2021
88,1395192251739893766,@9NewsAUS Well I guess we are better off knowing where not to go,0.5,west,en,381,575,Thu May 20 01:38:48 +0000 2021
89,1395192542086397955,RT @EdmundMorley: @PaulMeekPerth Lower taxes for billionaire's higher taxes for the plebs is what he meant,0.25,west,en,19641,18226,Thu May 20 01:39:58 +0000 2021
90,1395195794236473346,My most disliked @YouTube content: reactions to reactions,0.15,west,en,75,101,Thu May 20 01:52:53 +0000 2021
91,1395197937446232065,"ğŸ¤ª CLICK FRENZY IS BACK! ğŸ¤ª

GET UP TO 50% OFF STOREWIDE. BE QUICK. WHILE STOCKS LAST.
 
Shop â�¡ï¸�â€¦ https://t.co/YP81aIhqVw",0.1111111111111111,west,en,27327,223,Thu May 20 02:01:24 +0000 2021
92,1395202043946561538,RT @EdmundMorley: @PaulMeekPerth Lower taxes for billionaire's higher taxes for the plebs is what he meant,0.25,west,en,89,370,Thu May 20 02:17:43 +0000 2021
93,1395202598446059520,Lebron spectating right now,0.2857142857142857,west,en,254,613,Thu May 20 02:19:55 +0000 2021
94,1395204955707908106,Steph going to have work a lot harder for his shots against this defense,-0.1,west,en,254,613,Thu May 20 02:29:17 +0000 2021
95,1395206160664338432,RT @EdmundMorley: @PaulMeekPerth Lower taxes for billionaire's higher taxes for the plebs is what he meant,0.25,west,en,346,689,Thu May 20 02:34:05 +0000 2021
