,id,value_x,value_y,group,language,follower,friend,time
13340,1395382531428474884,"@eughisitover @Pluggarunich @TopSport_com_au Hey mate can I borrow money from you!

I will try my very hardest to tâ€¦ https://t.co/JFQMZMfoLH",0.2,mid,en,239,231,Thu May 20 14:14:55 +0000 2021
13341,1395382532619874309,RT @jasmineee_cr: soulmates always find each other,-0.125,mid,en,859,286,Thu May 20 14:14:55 +0000 2021
13342,1395382536864362506,@roadshow @Opel Europeans making the IDx better than Nissan did.,0.5,mid,en,143,579,Thu May 20 14:14:56 +0000 2021
13343,1395382540467200008,"RT @shazahrah: ??!! Melbourne shut down their economy waktu 2nd wave for three-four months mall, restaurants all closed. They can only go oâ€¦",-0.0638888888888889,mid,en,866,282,Thu May 20 14:14:57 +0000 2021
13344,1395382547824082944,@smith__ryan__ Hot,0.25,mid,und,32,100,Thu May 20 14:14:59 +0000 2021
13345,1395382556506218500,more like cory hates raymond. i am a robert stan,0.5,mid,en,492,477,Thu May 20 14:15:01 +0000 2021
13346,1395382579323457537,"RT @RecklessVelvet: @byronsmithmusic @riwolfmusic @jameswillows @DanielC68749467 @ClintSlate Awesome, thanks Byron have pre-saved! Here's mâ€¦",0.625,mid,en,11072,7725,Thu May 20 14:15:06 +0000 2021
13347,1395382580598411270,RT @jasmineee_cr: soulmates always find each other,-0.125,mid,en,2420,1980,Thu May 20 14:15:06 +0000 2021
13348,1395382592162074630,"@AUBREYKATEXXX Limp dick=big mouth, and a big asshole.",-0.1,mid,en,27,247,Thu May 20 14:15:09 +0000 2021
13349,1395382593206591488,RT @jasmineee_cr: soulmates always find each other,-0.125,mid,en,316,233,Thu May 20 14:15:09 +0000 2021
13350,1395382594976587778,RT @jasmineee_cr: soulmates always find each other,-0.125,mid,en,532,502,Thu May 20 14:15:10 +0000 2021
13351,1395382597392289795,"RT @bevvo14: #LIVE UN General Assembly to again meet to try and curb #MiddleEastConflict as pressure for ceasefire grows @profmabon, tragicâ€¦",0.09318181818181819,mid,en,0,37,Thu May 20 14:15:10 +0000 2021
13352,1395382599602774023,@blakecattledog @MingTatong @TanaShefani haha yeh i know.,0.2,mid,en,158,216,Thu May 20 14:15:11 +0000 2021
13353,1395382604619304965,RT @jasmineee_cr: soulmates always find each other,-0.125,mid,en,472,543,Thu May 20 14:15:12 +0000 2021
13354,1395382615775928330,RT @andrea_carson: Great to work with such a professional team at @Government_UoM  to produce this policy brief on fake news with @Democracâ€¦,0.08,mid,en,3457,2893,Thu May 20 14:15:15 +0000 2021
13355,1395382617608912899,"yes i look gay asf.. we get it.. now keep scrolling ğŸ˜ƒğŸ�ƒğŸ¤š
this is before my skin broke out bad bad again.. KMS all caâ€¦ https://t.co/tZF1Foy1TI",-0.32777777777777767,mid,en,2,11,Thu May 20 14:15:15 +0000 2021
13356,1395382617617276931,Best news today. Well done Victoria ğŸ™ŒğŸ�¼ https://t.co/dyFqGJ6M66,1.0,mid,en,132,465,Thu May 20 14:15:15 +0000 2021
13357,1395382624202366976,RT @jasmineee_cr: soulmates always find each other,-0.125,mid,en,55,169,Thu May 20 14:15:17 +0000 2021
13358,1395382627268399109,"RT @erinredmond11: As a doctor I too am pissed off about this. Older women with chronic mental illness not eligible for DSP.
More financialâ€¦",0.18888888888888888,mid,en,126,159,Thu May 20 14:15:17 +0000 2021
13359,1395382629613162501,RT @jasmineee_cr: soulmates always find each other,-0.125,mid,en,481,95,Thu May 20 14:15:18 +0000 2021
13360,1395382632884555778,"Aaah, they got the whole thing on video. ğŸ˜�ğŸ¤£ğŸ™ƒ This was hilarious! Looks like I was a bit hyperactive in there with tâ€¦ https://t.co/q8wLdXMIG7",0.4125,mid,en,1935,2480,Thu May 20 14:15:19 +0000 2021
13361,1395382637959663624,"Which of these scenarios sound more familiar? #Thread

#1 Climate change is coming and the earth will be uninhabitaâ€¦ https://t.co/0rjUfHlyAk",0.425,mid,en,1929,927,Thu May 20 14:15:20 +0000 2021
13362,1395382639389863937,RT @jasmineee_cr: soulmates always find each other,-0.125,mid,en,54,55,Thu May 20 14:15:20 +0000 2021
13363,1395382650462818304,"RT @cryptotrader85: The cool thing about #staking @808TA_ is that you can set &amp; forget it while the stakes continue to stack daily.

The teâ€¦",0.175,mid,en,0,6,Thu May 20 14:15:23 +0000 2021
13364,1395382655512768512,@AlboMP Pathetic!,-1.0,mid,en,26,106,Thu May 20 14:15:24 +0000 2021
13365,1395382667730821123,@Bearza76 Very relatable.,0.2,mid,en,289,1290,Thu May 20 14:15:27 +0000 2021
13366,1395382671354720260,"#3 The great flood approacheth. Build ye an ark. 

Response: Should we wait for that shipment of oak to arrive in 1â€¦ https://t.co/eCEDSiJZmC",0.8,mid,en,1929,927,Thu May 20 14:15:28 +0000 2021
13367,1395382671954513928,RT @jasmineee_cr: soulmates always find each other,-0.125,mid,en,91,114,Thu May 20 14:15:28 +0000 2021
13368,1395382677910409216,@7AFL When does this pathetic fascination of wanting to Americanise our sports end?? Pathetic and shows an inability to think for ourselves,-1.0,mid,en,58,663,Thu May 20 14:15:30 +0000 2021
13369,1395382692208726023,"RT @TermyCornall: Mark Latham with some considered academic analysis of his own.

Given taxpayers have been funding his racist, transphobicâ€¦",0.3,mid,en,1022,1134,Thu May 20 14:15:33 +0000 2021
13370,1395382696336035846,RT @jasmineee_cr: soulmates always find each other,-0.125,mid,en,1410,416,Thu May 20 14:15:34 +0000 2021
13371,1395382699318079493,Dude this album is an absolute masterpiece,0.2,mid,en,549,915,Thu May 20 14:15:35 +0000 2021
13372,1395382701490806791,#4 Our #COVID quarantine will fail imminently and it will run rampant. We need to vaccinate everyone ASAP to save lâ€¦ https://t.co/LAun3RnAiI,-0.5,mid,en,1929,927,Thu May 20 14:15:35 +0000 2021
13373,1395382706024837132,RT @MayneReport: Agree with James Murdoch that his brother isn't much chop at his job as CEO of Fox Corp:  https://t.co/BKbF9HapVS,0.2,mid,en,26,117,Thu May 20 14:15:36 +0000 2021
13374,1395382706259697664,@QueenRosita6 Beautiful shot,0.85,mid,en,5481,399,Thu May 20 14:15:36 +0000 2021
13375,1395382711569707011,RT @jasmineee_cr: soulmates always find each other,-0.125,mid,en,47,280,Thu May 20 14:15:38 +0000 2021
13376,1395382717726871553,I think there is something to be said about the way Ao3's tagging system ends up telling a narrative of it's own anâ€¦ https://t.co/38HPRVXZUQ,0.6,mid,en,124,828,Thu May 20 14:15:39 +0000 2021
13377,1395382718092005380,RT @jasmineee_cr: soulmates always find each other,-0.125,mid,en,10693,9777,Thu May 20 14:15:39 +0000 2021
13378,1395382719295655945,RT @jasmineee_cr: soulmates always find each other,-0.125,mid,en,158,169,Thu May 20 14:15:39 +0000 2021
13379,1395382722344853504,"RT @Asher52576147: #TBADNBoycottMZETxAPT74 
Congratulations ğŸ�‰ğŸ�‰ğŸ�‰ğŸ�‰ğŸ�‰ 100k Again Proud Being Team Aboard. https://t.co/4ZTw7HQEAe",0.8,mid,en,62,178,Thu May 20 14:15:40 +0000 2021
13380,1395382722864959492,"RT @shazahrah: ??!! Melbourne shut down their economy waktu 2nd wave for three-four months mall, restaurants all closed. They can only go oâ€¦",-0.0638888888888889,mid,en,98,93,Thu May 20 14:15:40 +0000 2021
13381,1395382726161838085,RT @jasmineee_cr: soulmates always find each other,-0.125,mid,en,306,1265,Thu May 20 14:15:41 +0000 2021
13382,1395382730637127682,RT @jasmineee_cr: soulmates always find each other,-0.125,mid,en,198,159,Thu May 20 14:15:42 +0000 2021
13383,1395382731014553605,RT @jasmineee_cr: soulmates always find each other,-0.125,mid,en,1147,965,Thu May 20 14:15:42 +0000 2021
13384,1395382733103190021,Zara Larson is so underrated. Her music actually slaps so hard https://t.co/Woi6uOAcX4,-0.14583333333333334,mid,en,433,611,Thu May 20 14:15:43 +0000 2021
13385,1395382745828843520,RT @jasmineee_cr: soulmates always find each other,-0.125,mid,en,7752,2055,Thu May 20 14:15:46 +0000 2021
13386,1395382746747338752,The 2021 PGA CHAMPIONSHIP LIVE this weekend on Fox Sports and Kayo: https://t.co/987y7hsZU8,0.13636363636363635,mid,en,22904,7533,Thu May 20 14:15:46 +0000 2021
13387,1395382749993783301,RT @jasmineee_cr: soulmates always find each other,-0.125,mid,en,3479,2724,Thu May 20 14:15:47 +0000 2021
13388,1395382750757089280,"@AUBREYKATEXXX Aubrey Kate, you, M'am, are one of the sexiest most beautiful women I've ever seen.ğŸ˜�",0.675,mid,en,27,247,Thu May 20 14:15:47 +0000 2021
13389,1395382763616759819,RT @jasmineee_cr: soulmates always find each other,-0.125,mid,en,62,212,Thu May 20 14:15:50 +0000 2021
