,id,value_x,value_y,group,language,follower,friend,time
47,1394965606223519744,@TimsRedPants I'd basically spent a week or more on a VERY SIMILAR task so spending 4 more hours on it today I wasâ€¦ https://t.co/41mP3UNmBs,0.225,east,en,1332,737,Wed May 19 10:38:12 +0000 2021
48,1394965622560337922,RT @LeanneM25992354: I'll have some of my Love Bugs with me @CottageMktDrog ...these are best sellers! #LouthChat https://t.co/711OvPAiFn,0.75,east,en,5378,2980,Wed May 19 10:38:16 +0000 2021
49,1394966370350206977,@Howard_Lovy I think the world wants more than half of us dead. Maybe half the world wants all of us dead,0.02380952380952381,east,en,912,1030,Wed May 19 10:41:14 +0000 2021
50,1394966411567673347,"@famara2001 @Rickywilts Hey Fam, ignore the idiots",-0.8,east,en,1131,1051,Wed May 19 10:41:24 +0000 2021
51,1394966494090600458,Less than 10 minutes into #SeeWhatYouMadeMeDo and Iâ€™m speechless @PhilCleary_Ind Iâ€™m so sorry about what happened tâ€¦ https://t.co/0PvvhymIGg,-0.3333333333333333,east,en,386,859,Wed May 19 10:41:44 +0000 2021
52,1394966568875012101,Wednesday 8s Cricket: Golden Ducks beat Mighty Mates 149.0(2.0) - 70.0(2.0) https://t.co/RzwpVDQHY7,0.35,east,en,210,303,Wed May 19 10:42:01 +0000 2021
53,1394966586281312256,@KyleHighRadio [FAST FORWARD] Dodgey Brothers - Mothers Day Special https://t.co/vNUUjGO0yP via @YouTube,0.2785714285714286,east,en,23,80,Wed May 19 10:42:06 +0000 2021
54,1394966599661236236,@eglantinescake @Jess_Gately @AlexDane_ got more boxes today,0.5,east,en,2799,3193,Wed May 19 10:42:09 +0000 2021
55,1394966651901202434,@mrsquooriosity @NanoporeConf @bach_warren @marimiya_tky @Pore_xy @geeky_jane Should have checked the agenda first ğŸ™‚,0.25,east,en,743,646,Wed May 19 10:42:21 +0000 2021
56,1394966665218203659,@BensLodge @lachymcallister I am very intrigued with the Chita.,0.2,east,en,1509,888,Wed May 19 10:42:24 +0000 2021
57,1394966727834939394,@Disc_light I went years ago. Be kind to yourself,0.6,east,en,1757,3003,Wed May 19 10:42:39 +0000 2021
58,1394966766766460931,@TheKouk Then letâ€™s put him in the leadership role. There is too much at stake. We must stop tippy toeing around @AlboMP,0.2,east,en,184,754,Wed May 19 10:42:49 +0000 2021
59,1394966790208372743,This will be fantastic for architects. Learn how to employ foresight principles and avoid the usual BS of techno-opâ€¦ https://t.co/hvV49Kfsrv,0.07500000000000001,east,en,837,562,Wed May 19 10:42:54 +0000 2021
60,1394966824190681093,"@PressPlayItNow @lance_stroll You mess with lance, youâ€™ll be six feet under ğŸ¤­ğŸ˜‚ğŸ˜‚",-0.175,east,en,200,1294,Wed May 19 10:43:02 +0000 2021
